Student Id, Country Code, Enrolled Year, Age, Gender,Experienced, Course Code, Engagement Month, Engagement Year,Engagement Year
1,AU,1,2018,39,M,false,JMC,MARCH,2020,Lecture 5
1,AU,1,2018,39,M,false,PYC,JULY,2023,Lecture 3
2,GB,9,2023,50,M,true,JMC,FEBRUARY,2023,Lecture 11
2,GB,9,2023,50,M,true,PYC,MAY,2023,Lecture 9
3,AU,2,2020,20,U,true,JMC,AUGUST,2023,Lecture 14
3,AU,2,2020,20,U,true,PYC,DECEMBER,2023,Lecture 10
4,CN,7,2020,26,U,false,JMC,AUGUST,2022,Lecture 11
4,CN,7,2020,26,U,false,PYC,MAY,2020,Lecture 10
5,GB,4,2022,72,M,false,JMC,JANUARY,2022,Lecture 2
5,GB,4,2022,72,M,false,PYC,MAY,2022,Lecture 13
6,CN,2,2021,33,M,true,JMC,AUGUST,2021,Lecture 14
6,CN,2,2021,33,M,true,PYC,SEPTEMBER,2021,Lecture 13
7,IN,12,2021,71,M,true,JMC,MARCH,2022,Lecture 1
7,IN,12,2021,71,M,true,PYC,JANUARY,2023,Lecture 9
8,GB,6,2020,34,M,false,JMC,FEBRUARY,2021,Lecture 14
8,GB,6,2020,34,M,false,PYC,OCTOBER,2023,Lecture 12
9,GB,2,2019,22,M,false,JMC,AUGUST,2020,Lecture 13
9,GB,2,2019,22,M,false,PYC,MARCH,2020,Lecture 13
10,CN,4,2018,20,M,false,JMC,JANUARY,2021,Lecture 11
10,CN,4,2018,20,M,false,PYC,JUNE,2020,Lecture 8
11,AU,12,2022,36,U,true,JMC,JANUARY,2023,Lecture 4
11,AU,12,2022,36,U,true,PYC,APRIL,2023,Lecture 9
12,GB,1,2020,32,U,false,JMC,FEBRUARY,2022,Lecture 13
12,GB,1,2020,32,U,false,PYC,MARCH,2020,Lecture 13
13,CN,5,2019,54,U,true,JMC,AUGUST,2020,Lecture 4
13,CN,5,2019,54,U,true,PYC,JUNE,2023,Lecture 14
14,IN,11,2023,72,M,false,JMC,MARCH,2023,Lecture 9
14,IN,11,2023,72,M,false,PYC,MAY,2023,Lecture 4
15,GB,7,2020,74,F,false,JMC,SEPTEMBER,2021,Lecture 1
15,GB,7,2020,74,F,false,PYC,JUNE,2023,Lecture 3
16,US,7,2020,45,U,false,JMC,JULY,2023,Lecture 5
16,US,7,2020,45,U,false,PYC,JUNE,2023,Lecture 3
17,CN,10,2015,82,M,true,JMC,JULY,2022,Lecture 5
17,CN,10,2015,82,M,true,PYC,APRIL,2017,Lecture 9
18,CN,1,2023,41,M,false,JMC,SEPTEMBER,2023,Lecture 14
18,CN,1,2023,41,M,false,PYC,APRIL,2023,Lecture 12
19,GB,6,2018,87,M,true,JMC,AUGUST,2019,Lecture 5
19,GB,6,2018,87,M,true,PYC,AUGUST,2019,Lecture 2
20,US,7,2018,27,U,true,JMC,NOVEMBER,2022,Lecture 6
20,US,7,2018,27,U,true,PYC,SEPTEMBER,2018,Lecture 2
21,GB,12,2023,54,U,true,JMC,JANUARY,2023,Lecture 13
21,GB,12,2023,54,U,true,PYC,SEPTEMBER,2023,Lecture 11
22,GB,6,2015,70,F,false,JMC,DECEMBER,2018,Lecture 4
22,GB,6,2015,70,F,false,PYC,MAY,2016,Lecture 11
23,CN,3,2020,49,M,true,JMC,OCTOBER,2022,Lecture 14
23,CN,3,2020,49,M,true,PYC,JUNE,2023,Lecture 8
24,IN,4,2019,47,U,false,JMC,NOVEMBER,2022,Lecture 10
24,IN,4,2019,47,U,false,PYC,DECEMBER,2020,Lecture 9
25,CN,8,2018,54,F,false,JMC,NOVEMBER,2019,Lecture 14
25,CN,8,2018,54,F,false,PYC,APRIL,2019,Lecture 1
